state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
"Tamil Nadu",Chengalpattu,Maduranthakam,Peruveli,Peruveli,Peruveli,0000945912,0000391492,PUMS,88,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Sirunallur,Sirunallur,Mudukarai,0000945929,0000391495,PUMS,121,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Vaiyavoor,Vaiyavur,Vaiyavoor,0000945953,0000391502,PUMS,151,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Vettur,Vettur,Vettur,0000945971,0000391508,"ADW SCHOOL",10,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Vettur,Vettur,Vilanganur,0000945974,0000391510,PUPS,19,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Vettur,Vettur,"Madura Gurupatha Medu",0000945975,0000391511,PUPS,24,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Zaminendathur,Z.endathur,Olavetti,0000945994,0000391518,PUPS,32,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Zaminendathur,Z.endathur,Maruvalam,0000945995,0000391519,PUMS,33,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Andavakkam,Andavakkam,"Vedavakkam Village",0000945689,0001662703,PUMS,91,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Janakipuram,"Janakipuram (sanur)",Janakipuram,0000945736,0001667784,"ADW MIDDLE SCHOOL",2,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kallapiranpuram,Kallabiranpuram,Valluvapakkam,0000945762,0001667909,PUHS,289,Govt.,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kinar,Kinar,Thottanaval,0000945771,0001662728,PUMS,219,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Mamandur,Mamandur,"Kamaraj Colony",0000945805,0001818270,"SALOM SCHOOL",6,Private,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Mangalam,Mangalam,"Nelvoy Koot Road",0000945814,0001661158,PUPS,35,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Netrampakkam,Netrambakkam,Kollambakkam,0000945866,0001659894,PUPS,24,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Ariyanur,Ariyanur,Ariyanur,0000945696,0000391409,PUPS,20,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Karunakaracheri,Karunagaracheri,Palliagaram,0000945747,0000391425,"ADW PRIMARY SCHOOL",7,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kavadur,Kavadur,Kavadur,0000945751,0000391427,PUMS,119,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kilakandai,Kilakandai,Melakandai,0000945779,0000391436,PUPS,33,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Murukkampakkam,Murrukkambakkam,Murukkampakkam,0000945828,0000391457,PUPS,41,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Nallamur,"Nallamur Keelakaranai","Keelkaranai Old Colony",0000945832,0000391459,PUPS,21,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Nelli,Nelli,Nelli,0000945871,0000391473,PUPS,45,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Nelli,Nelli,Kunnankolahur,0000945874,0000391474,GHSS,180,Govt.,"Higher Secondary with grades 6 to 12",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Pazhamathur,Pzhamathur,Pazhamathur,0000945893,0000391485,PUMS,136,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Palayanur,Palayanur,"Palayanur Village",0000945897,0000391487,PUMS,170,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Periavenmani,Periavenmani,Periavenmani,0000945907,0000391491,PUMS,51,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Peruveli,Peruveli,"Paiyambodi Village",0000945914,0000391493,PUPS,19,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Sithandi,Sithandi,"Sidhandi Mandapam",0000945939,0000391497,PUPS,96,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Zaminendathur,Z.endathur,Zaminendathur,0000945989,0000391516,PUPS,140,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Andavakkam,Andavakkam,Andavakkam,0000945685,0001667530,"CSI PRIMARY SCHOOL",40,"Govt. Aided","Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Arayapakkam,Arayapakkam,Arayapakkam,0000945694,0001662532,PUMS,93,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Meyyur,Maiyur,"Meyyur Village",0000945815,0001818301,"VIDYAMANDIR HIGH SCHOOL",10,Private,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
