state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Periya,"Ward Xi",0000417334,0002631078,"LITTLE BIRDS ENGLISM MEDIUM SCHOOL",100,Private,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Chithari,"Ward Xxi",0001863112,0002476618,"HIAUPS CHITHARI",440,"Govt. Aided","Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward Xviii",0001833162,0000354839,"GUPS Kottikulam",138,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Ajanur,"Ward Vii",0000417240,0000354844,"Mahakavi P Smaraka GVHSS BELLOKKOTH",1277,Govt.,"Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,Madikkai,Madikkai,"Ward Vi",0000417296,0000354865,"Malapancherry GLPS",87,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Panayal,"Ward X",0000417306,0000354871,"Cherkapara GLPS",75,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,Bare,"Ward Vi",0000417221,0001988387,"GHS BARE",1139,Govt.,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Chithari,"Ward Xviii",0000417233,0002464420,"CRESCENT SCHOOL CBSE",1300,Private,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Periya,"Ward I",0000417331,0000354882,"GVHSS Kuniya",825,Govt.,"Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Periya,"Ward Xvi",0001832174,0000354884,"GLPS Periya",460,Govt.,"Primary only with grades 1 to 5",2023-01-18
